sq_orig	sq_mod
e ashtu ende saa tjera të paanjefuna tue i vuum roe e bukur tue i konsideruom ndë vetëhe , më dukeej , se jam detuor e mbaajtunë gjithëherë – ndo me një arrësye ndo me një tjetërë – kësaaj kafshe me j pruojtunë .	e ashtu edhe sa tjera të panjohura duke i vënë re e bukur duke i konsideruar në vete , më dukej , se jam detorës e mbajtur gjithherë – ndo me një arsye ndo me një tjetër – kësaj gjëje t'i pruhem .
E tue kujtuom se për qish udhë oo me qish arrësye , s më dukeej , se munë banetë për ta tjetër ma e afërë mëngjii se me avizuom e me baam me diijtunë kishënë e Tinëzot e të parëtë e saaj , ke ashtë mpshtetunë e ndimonetë gjithë rrethi i shekullit .	E duke kujtuar se për ç'udhë o me ç'arsye , s më dukej , se mund të bëhet për ta tjetër më e afërt mëngji se me avizuom e duke bërë për të ditur kishën e Tinëzot e të parëtë e saj , ku është mbështetur e ndihmohet gjithë rrethi i botës .
Të ciinë kafshë ende saa tjera plagë të shpiirtit tue i kujtuom , veçë kuur tee i mplasa vikarii e famullii e saa ashtu tjera kafshë , qi për shumë mot mbaajta ndë Shurbiit , e u daashë andej .	Të cilën gjë edhe sa tjera plagë të shpirtit duke i kujtuar , veç kur te i mplasa vikari e famulli e sa ashtu të tjera gjëra , që për shumë mot mbajta në Shurbi , e u ndava andej .
Erdhshë mbë Romë , ke me fjalë e me të shkruome , aqë saa munda , s mengova me avizuom e me baam me diijtunë shintinë atë , papë Paalinë e V. e gjithë të ndritshimenë kolegjënë e gardinajet , të ciitë , mbasi e ndëgjuonë mirë kafshënë , përmetuonë me vuum roe pakëzë , se pa qish mëngjii e rremedie munë banetë .	Në ardhsh në Romë , ku me fjalë e me të shkruara , aq sa munda , s'mëngova me avizuom e t'i bëj të dijë shenjtit atë , papë Palit V. e gjithë të ndritshmin kolegjin e gardinajet , të cilët , mbasi e kuptuan mirë gjënë , premtuan të vënë re pakëz , se pa qysh mëngji e rremedie mund të bëhet .
Maa ndeevonë , disa u tue qenë vetëmë e paavesht aqë ndjerë nd anët , disa tue mos qenë kush ndimë , qishmos kundrështarë e shtiekëqii , asndoonjë kafshë s u mbaruo jashtë anco Doktrine , qi me saa fëdigë e t idhunë mbzii  bana me e shtampuom .	Por më vonë , disa u duke qenë vetëm e paavesht aq deri në anë , disa duke mos qenë kush ndihmë , qyshmos kundërshtarë e shtiekëqinj , asndonjë gjë su mbarua jashtë asaj Doktrine , që me sa mundim e të hidhur mbzii bëra për ta shtypur .
Të ciinë mbasi e dërgova , kuur maa tue paam , se asndoonjë tjetër ndimë s jesh i zoti me baam , i mplasa gjithë kafshëtë e , veshunë si pelegrii , vojta kaha munda me mbërriim , vizitova visetë e devotshime të shintënet e mbusha kushtimetë e baame aty e ndjerë mp shën Jakob të Galiciesë .	Të cilin mbasi e dërgova , kur më duke parë , se asndonjë tjetër ndihmë s'isha i zoti të bëja , i mplasa gjithë gjërat e , veshur si pelegrin , vajta nga munda të mbërrija , vizitova viset e devotshme të shenjtëve e mbusha kushtimet e bëra aty e deri më shën Jakob të Galicisë .
E andej mbas 18 muojsh përsërii mbë Romë tue nkthyem , gjeta letërë atit shumë ncë ndeershim , fra Gjoani Koleshit , upeshkëpit së Arbënit , se Doktrina ajo , ndoonëse me pak fajt tem e të shtampatarëvet , asgjaamangu kaa me qenë ndoonee gjaakafshë për ndimë të atii kërshtënimi .	E andej mbas 18 muajsh përsëri më Romë duke u kthyer , gjeta letër atit shumë të ndershëm , frat Gjoani Koleshit , ipeshkëvit së Arbrit , se Doktrina ajo , ndonëse me pak faj timin e të shtypësve , asgjëmangu ka për të qenë ndonjë gjëkafshë për ndihmë të atij krishtërimi .
Të ciinë kafshë tue e gjegjunë , mb atë ças u mbushçë ende maa tepërë plot me dëshiir , qi ende maa me ashtu qishdo copë letërë me j ndimuom e aqë maa tepërë gjaakafshë për të rrëfyemit , qi die , se mbë disa vise maa u harruo , e , ke s u harruo ende , po pak e rraall shërbenetë , si do ligja .	Të cilën gjë duke e gjegjur , më atë ças u mbusha edhe më tepër plot me dëshirë , që edhe më me ashtu qyshdo copë letër për t'i ndihmuar e aq ma tepër gjëkafshë për të rrëfyer , që die , se më disa vise më u harrua , e , ku s'u harrua ende , po pak e rrallë shërbehet , si do ligji .
Të ciinë kafshë tue e kujtuom , mora për disa dit nktheva një konfesionaar gjuhet së lëtine mbë gjuhu-tanë t arbëneshe . E mbasi e mbarova , suplikova e u lutshë shintit atë Paalit V. , qi përsipëri , a të bante aqë hiir si Doktrinënë me e shtampuom me spenxë të vet .	Të cilën gjë duke e kujtuar , mora për disa ditë ktheva një konfesionar të gjuhës së latine më gjuhën tonë të arbëreshe . E mbasi e mbarova , suplikova e iu luta të shenjtit atë Palit V. , që përsipër , a të bënte aq hir që Doktrinën ta shtypte me shpenzime të veta .
I cilli mirë tue e ndëgjuom kafshënë , j a dërgoj ndë dorë-të mjeshtrit Pëllasit .	I cili mirë duke e kuptuar gjënë , ia dërgoi në dorë mjeshtrit të Pallatit .
E mjeshtri i Pëllasit tue e vuum roe , i shtiu shkag , se qenëkaa kafshë plakë e jo aqi i mirë , s desh me e përzanë , po më dha me nkthyem e me baam një tjetërë .	E mjeshtri i Pallatit duke e vënë re , i shtiu shkak , se qenka gjë e vjetër e jo aq i mirë , s'deshi ta përzinte , po më dha të ktheja e të bëja një tjetër .
Të ciillë mbas disa ditsh ende atë si e mbarova , tue më dukunë kafshë fort e shkurtënë e e mbërshelë për gjuhu-tanë , s më pëlqej , po mora ende këtë të tretënë .	Të cilin mbas disa ditësh edhe atë si e mbarova , duke m'u duku gjë fort e shkurtër e e mbërshelë për gjuhën tonë , s'më pëlqeu , po mora edhe këtë të tretën .
Të ciinë për saa dit mbasi e mbarova , heret së keqe ndeevonë s gjindeej asndoonjë doktuor këtu gjuhet sonë , qi të kish me e paam e me e provuom , si a zakoni .	Të cilën për sa ditë mbasi e mbarova , heret së keqe pastaj s'gjendej asndonjë doktor këtu i gjuhës sonë , që të kish ta shihte e ta provonte , si është zakoni .
E kshtu , mbas saa helmi e nc idhuni ndeevonë m u desh me votë jashtë Romënë ke një frat gjuhet sonë andej Rantësietë , anet së Kruusë .	E kështu , mbas sa helmi e së hidhuri më vonë m'u desh të shkoja jashtë Romës ku një frat i gjuhës sonë andej Rantësietë , anës së Kruusë .
Ke i cilli tue votë me të madh dëshiir posikuur ndoonji i etshim mbë gurrë të ftohotë me u nginjunë , kuur sosa me shpëresë , se kaa me më marrë n grykë e me më ngushëlluom me qishdo fjalë t ambla , sikundrëse ashtë zakoni i fratënet e j priftënet , e aqë maa tepërë kuur mpiqenë kund ashtu si na aty ndë dhee të huoj , mirë tue më njofunë , se kush jam , e kaha jam , e për qish zyrë kam ardhunë .	Ku i cili duke vajtur me të madhe dëshirë posikur ndonjë i etshëm më gurrë të ftohtë për t'u nginjur , kur sosa me shpresë , se ka për të më marrë në grykë e të më ngushëllojë me qyshdo fjalë të ëmbla , sikundërse është zakoni i fretërve e i priftërinjve , e aq më tepër kur piqen kund ashtu si na aty në dhe të huaj , mirë duke më njohur , se kush jam , e nga jam , e për qysh punë kam ardhur .
Pa vini roe , a janë këto fantaziitë e tentacionetë e anëmikut !	Pa vini re , a janë këto fantazitë e përpjkjet e armikut !
Ke saa më paa , se j u afruoshë me j folë , mbasi kishnë dalë vesperi , jo veçëse s desh me folë me muo oo ndë faqet me më shukuom , se a zakoni i n’jerëzet , po ashtu ende më nkthej shpinënë faqe gjithë kuvendit fratënet , mb arrësye të ndoonjii , qi t ish skomunikuom prej papet ;	Ku sa më pa , se iu afrova për t'i folur , mbasi kishin dalë vesperi , jo veçse s'deshi të fliste me mua o në faqe të më shkonte , se është zakoni i njerëzve , po ashtu edhe më ktheu shpinën faqe gjithë kuvendit të fretërve , më arsye të ndonjë , që t'ish shkishëryuar prej pape ;
së ciet madhështii thoshnje , se ende maa tepërë u skandullixuonë fratënitë , shokëtë e tii , qi paanë , se ende saa tierë , qi ndodhnë , e zuunë pakmos me murmëruom kundrë tii me saa fjalë të paagjaana .	së cilat madhështi thoshje , se edhe ma tepër u skandalizuan fretërit , shokëtë e tij , që panë , se edhe sa të tjerë , që ndodhën , e zunë pakmos të mërmëritnin kundër tij me sa fjalë të paagjaana .
E kshtu ndeevonë , disa tue kujtuom gjith aqë fëdigë , qi më dukeej , se bana për të nkotë , disa nevojënë e madhe e të vdierrëtë e atii populli , disa madhështiinë e paa ndoonjë arrësye të këtii frati t paafat , maa tepërë se gjithë kundrështiishit e nevojëshit së tjera , qi më kishnë gjetunë , Zotyynë m a di , se për disa dit desh qi jeshë vdjerrë mallënjimi e nc idhuni , ndjerë qe pëlqyem atii Zotit mëshëriershim me më ngushëlluom ende muo si shumë tjerë të përmpkatënuom , *	E kështu më vonë , disa duke kujtuar gjithë aq mundim , që më dukej , se bëra për të kotë , disa nevojën e madhe e të vdjerrët e atij populli , disa madhështinë e pa ndonjë arsye të këtij frati të pafat , më tepër se gjithë kundrështive e nevojave së tjera , që më kishin gjetue , Zoti ynë ma di , se për disa ditë desh që isha vdjerrë mallëngjimi e së hidhuri , deri qe pëlqyer atij Zotit të mëshirshëm për të më ngushëlluar edhe mua si shumë të tjerë të mëkatëruar , *
E aqëë maa tepërë njaj dite , ke jeshë sikuur dëshpëryem qitunë e raam mbë gjunjë përpara shintit sakrament e ilterit Zotnjësë beekuome ndë Minervët , me saa lot e gjamë e fshanëtime të zemërësë tue e lutunë atë Zo-të mëshëriershim e tue i thanë , se „ O Zoti im shum i ambli e j mëshëriershimi , gazimendi i t idhënuomet e shpëresa e t përmpkatënuomet e ndima e forca e gjith atyne , qi me shpëresë mpshtetenë prej tee ;	E aqë më tepër një dite , ku isha sikur dëshpëruar qitur e rënë më gjunjë përpara të shenjtit sakrament e alterit të Zonjës së bekuar në Minervën , me sa lot e gjëmë e psherëtima të zemrës duke e lutur atë Zot të mëshërshëm e duke i thënë , se „ O Zoti im shum i ëmbli e i mëshërshmi , gazmendi i të hidhëruerve e shpresa e mëkatarëve e ndihma e forca e gjithë atyne , që me shpresë mbështeten prej teje ;
ti , qi ende parë se janë baam , mir i di e j njef gjithë kafshëtë e aqë maa tepërë gjithë të kujtuometë e përmbrendshime e dëshiretë e mendsë e të zemërësë sanë , – të lus , qi , nd ashtë këjo vepërë për ndoonjë ndimë oo fruj-të mirë të shpiirtit , temptë e t atii populli , ndoonëse u i paadenjë , mos e harro e mos e shtie poçtë këtë fëdigënë teme ;	ti , që ende parë se janë bërë , mirë i di e i njeh gjithë gjërat e aq më tepër gjithë të kujtuarit e përmbrendshëm e dëshirat e mendjes e të zemrës sonë , – të lus , që , në është kjo vepër për ndonjë ndihmë o frytë të mirë të shpirtit , temptë e të atij populli , ndonëse unë i padenjë , mos e harro e mos e shtjer poshtë këtë mundimin tim ;
ashtu as mos e venë roe aqë ndjerë nd anët të mangutë e të paadenjëtë tem , po të madhenë mëshërierrë tande , e m ep aqë hiir e gracie , qi ndo t a mbaronj për ndimë-të atii populli , si e kam nisunë , ndo të lirë ndë meent e zemërë-teme me shkuom e me e lanë “ .	ashtu as mos e vër re aq deri në anët të mangët e të padenjët tim , po të madhen mëshirë tënde , e më jep aq hir e gracie , që ndo ta mbaroj për ndihmë të atij populli , si e kam nisur , ndo të lirë në mend e zemrën time për të shkuar e për ta lënë “ .
Të ciatë fjalë me aqë t idhunë e mallënjim tue i thanë ndë vetëhe , saa maa i zoti me mbaajtunë lotë s jeshë , veçëse mbulova faqenë , mos banem me ndoonjë arrësye skandulliximi i shumë tierëve .	Të cilat fjalë me aq të hidhur e mallëngjim duke i thënë në vete , sa më i zoti të mbaja lotët s'isha , veçse mbulova faqen , mos bëhem me ndonjë arsye skandalizimi i shumë të tjerëve .
E kshtu ndeevonë , kuur maa tue kujtuom me e mplasunë gjithë kafshënë e me shkuom – Zotyynë m a di e m ashtë për dëshmi , zotënii e shokë e vëllazënë ! , se nd aqë veçë kuur tee gjejshë mb anë të djathë një kshiill , qi më tha , se : „ Saa maa të fëdigeesh , aqë maa mirë kie me j  mbaruom gjithë kafshëtë “ .	E kështu më vonë , kur më duke kujtuar për ta plasur gjithë gjënë e të shkoja – Zoti ynë ma di e më është për dëshmi , zotërinj e shokë e vëllezër ! , se në aq veç kur ta gjesh më anë të djathtë një këshillë , që më tha , se : „ sa më të mundohesh , aq më mirë kanë për t'u mbaruar gjithë gjërat “ .
Të ciinë zaa oo kshiill aqë bukur nçelë qi e gjejshë e e ndëgjova , saa mb atë ças përnjëherë tue mpshiim lotë e tue dhanë lavd Tinëzot e Zotnjësë beekuome , u mbushçë gjithë plot me gazimend e me ngushëllim , e me shpëresë me j mbaruom gjithë kafshëtë .	Të cilin zë o këshillë aq bukur çelë që e gjeta e e kuptova , sa më atë ças përnjëherë duke fshirë lotët e duke i dhënë lavd Tinëzot e Zonjës së bekuar , u mbusha gjithë plot me gazmend e me ngushëllim , e me shpresë për t'i mbaruar gjithë gjërat .
E kshtu mb atë ças vojta , zuna fiill përserii ;	E kështu më atë çast vajta , zura fill përsëri ;
saa maa për të çpejtë qi munda , i shkrova e j ndëreqa maa mirë gjithtë kafshëtë , qi keshë shkruom e baam gaatii maa mpari .	sa më për të shpejtë që munda , i shkrova e i ndëreqa më mirë gjithë gjërat , që kisha shkruar e bërë gati më parë .
Ende maa tepërë nçtova rubrikëtë e Rituallit Romësë me gjithë saa tjera urdhënime kaa ndë vetëhe , me shpëresë ende ato bashkë me tjerat me j shtampuom , sikundrëse thashë përsipëri .	Edhe më tepër shtova rubrikat e Ritualit të Romës me gjithë sa të tjera urdhërime ka në vete , me shpresë edhe ato bashkë me të tjerat për t'i shtypur , sikundërse thashë përsipër .
Të ciatë , posikundrëse ashtu ish vullëndetja e Tinëzot , posaa përnjëherë tue i mbaruom , veçë kuur tee e mbërrini i ndëjyemi dom Simonë Ngjeqi prej Leshe me lypunë upeshkëpiinë e Zadrimësë .	Të cilat , posikundërse ashtu ish vullneti e Tinëzot , po sa përnjëherë duke i mbaruar , veç kur tek e mbërriti i ndjeri dom Simon Ngjeqi prej Leshi për të lypur ipeshkëvin e Zadrimës .
Të ciinë këtu mirë tue e njofunë n’jerii të diijtëshim e plot me letërë , mb atë ças j a dhanë e s j a menguonë ;	Të cilin këtu mirë duke e njohur njeri të dijshëm e plot me letër , më atë çast ia dhanë e s'ia mënguan ;
e jo veçëse upeshkëpiinë , qi lypi , po ashtu ende gjithë këto letëra e të shkruometë e mii , me të ciat i keshë maa shurdhuom e mërzitunë , atii j a dhanë e j a rekumenduonë me j paam e bukur me j provuom , se pa si jesënë oo për qish ndimë kanë me qenë t atii populli .	e jo veçse ipeshkëvin , që lypi , po ashtu edhe gjithë këto letra e të shkruarit e mi , me të cilat i kisha shumë shurdhuar e mërzitur , atij ia dhanë e ia rekomanduan për t'i parë e bukur për t'i provuar , se pasi mbeten o për ç'ndihmë kanë për të qenë të atij populli .
I cilli kaa pak për gjithë ditë bukur tue i vuum roe fjalë për fjalë e puntë për puntë , përnjëherë tue i mbaruom , mbet e tha , se : A domino factum est istud , & est mirabile in oculis nostris .	I cili ka pak për gjithë ditë bukur duke i vënë re fjalë për fjalë e pikë për pikë , përnjëherë duke i mbaruar , mbeti e tha , se : A domino factum est istud , & est mirabile in oculis nostris .
Ani mb atë ças muor pendënë e kalamaarrë , e jo veçëse me dorë të vet shkroj e j bani këtë dëshminjenii , qi aa vuum përsipëri , po ashtu ende vetë hini ke mjeshtri i Pëllasit e mbë saa vise të tjera , ke qe zyra , tue i lutunë , qi për gjith arrësye të shtampohetë , se kaa me qenë për të madhe ndimë e të nçelët syytë shumëve .	Ani më atë çast mori pendën e kallamarin , e jo veçse me dorë të vet shkroi e i bëri këtë dëshmi , që është vënë përsipër , po ashtu edhe vetë hyri te mjeshtri i Pallatit e mbë sa vise të tjera , ku qe puna , duke i lutur , që për gjithë arsye të shtypet , se ka për të qenë për të madhe ndihmë e të çelët syytë shumëve .
E kshtu kuur tue qenë maa kafshë gaatii mbë të zanët fiill , gjukata veçë kuur tee goditi , sikundrëse mortja e këtii t ndëjyemit upeshkëpit Simon , ashtu ende e papësë Paalit V. ;	E kështu kur duke qenë çdo gjë gati më të zënët fill , gjykata veç kur të goditi , sikundërse mortja e këtij të ndjerit ipeshkëv Simon , ashtu edhe e papës Paalit V. ;
e ndjer u baa tjetëri , qi a tashti : shinti atë papa Gregorio XV. , u desh me shkuom disa mot .	e deri u bë tjetri , që është tashti : shenjti atë papa Gregorio XV. , u desh të shkonin disa mote .
T ciillt Zotyynë i ngjatë jetënë e j a pagoftë me shumë të mirë të kesaaj jete ende të tjetërësë , përse me të parët fjalë mbasi e ndëgjoj bukur kafshënë , maa s desh me e vonuom as me e përciellë ditë mbë ditë , po mb atë ças urdhënoj , të zihetë fiill , saa maa çpejt të mbarohetë .	Të cilit Zoti ynë i zgjattë jetën e ia pagoftë me shumë të mirë të kësaj jete edhe të tjetrës , përse me të parën fjalë mbasi e kuptoi bukur gjënë , më s'desh ta vononin as për ta përcjellë ditë më ditë , po më atë çast urdhëroi , të zihet fill , sa më shpejt të mbarohet .
E mbasandaj u këtë tue shtampuom , veçë kuur tee me një fjalë të zotëniisë ndritshim Marino Bicit , argjupeshkëpit Tivarit , muorrë e më ngarkuonë ende barrënë e kësaaj upeshkëpiisë Zadrimësë , qi u askurraj ndë mend s e keshë pasunë .	E mbasandaj unë këtë duke shtypur , veç kur tek me një fjalë të zotnisë së ndritshëm Marino Bicit , argjipeshkëvit të Tivarit , morën e më ngarkuan edhe barrën e kësaj ipeshkëvisë së Zadrimësë , që unë askurrë në mend s'e kisha pasur .
Praashtu desha me u thanë , të mii zot e shokë e vëllazënë ! , se u ndjerë mp tashti , aqë saa munda , s mengova ndë këtë vepërë , e këndyy tutje ndoonësë e pakë e përpara Tinëzot e përpara shekullit e rekumendonj e e porësit  ndë dorë-të zotëniisë saaj posi miqet t dashunë për ndeer , kafshënë maa të dashunënë , qi të keshë  përmbii dheet , ashtu qi , ndoonëse me pak fëdigë mbasi t a kini bukurë ndëgjuom , t iini të zotë jo veçëse me e porësitunë e me e rrekomenduom , mbë gjithë kishët e viset tuoj të shërbenetë , e të jeetë ligja mbë vent , si ashtë urdhënuom , – po ashtu ende me saa të denja e të dërejta arrësenje me e ndimuom e me j pruojtunë fjalëshit e shigjetëshit së ndoonjii , qi të duoj ashtu me ngatërruom e me folë gjaakafshë ende kundrë së dërejtësë .	Pra ashtu desha t'u them , të mi zot e shokë e vëllëzër ! , se unë deri më tashti , aq sa munda , s mëngova në këtë vepër , e këndej tutje ndonësë e pakë e përpara Tinëzot e përpara botës e rekomandoj e e porosit në dorë të zotnisë së tij posi miqve të dashur për nder , gjënë më të dashur , që të kisha përmbi dhe , ashtu që , ndonëse me pak mundim mbasi ta keni bukur kuptuar , të jeni të zotë jo veçse ta porositni e ta rekomendoni , më gjithë kishat e viset tuaja të shërbehet , e të jetë ligji më vend , si është urdhëruar , – po ashtu edhe me sa të denja e të drejta arsye për ta ndihmuar e për ta pruajtur prej fjalëve e shigjetave të ndonjë , që të dojë ashtu të ngatërrojë e të flasë gjëkafshë edhe kundër së drejtës .
Mirë tue diijtunë posi përsipëri , se anëmiku aj plaku e dashëkeqi i gjithë t miravet , qi ndjerë mp tashti i shtiu gjith aqë kundrështii e të peenguome , të mos banetë , tashti kuur u baa e u mbaruo ende kundra vullëndetsë tii , as këndyy tutje , për qish të mundnjë , s kaa me menguom me j shtiim kundrë e me j vdierrë frujtinë , qi të kish me baam , ndë mos me tjetërë aj ndoonee me invidiet e resë-të disave , qi vetë tue mundunë ende maa mirë s kanë dashm me u fëdigunë , e n doret së tjerëve s kanë me mundunë me e paam .	Mirë duke ditur posi përsipër , se armiku ai plaku e dashakeqi i gjithë të mirave , që deri më tashti i shtiu gjithaq kundrështi e të penguara , të mos bëhet , tashti kur u bë e u mbarua edhe kundër vullnetit të tij , as këndej tutje , për ç'të mundë , s'ka për të mënguar për t'i shtirë kundër e për t'i vdjerrë frytin , që të kish për të bërë , në mos me tjetër aj ndonjë me zilitë e resë të disave , që vetë duke mundën edhe më mirë s'kanë dashur të mundohen , e prej dorës së të tjerëve s'do të mundin ta shohin .
Të ciitë ende ata i lus për pjesë të Tinëzot , të mos e veenë roe aqë ndjerë nd anët të mangutë tem ndë këtë vepërë , qi maa mirë s qesh i zoti me e ndërequnë , – po të randëtë e damit , qi u baa ende po banetë , e të vdjerrëtë e gjith aqii shpiirte , qi u vduorrë ende po vdaarenë veçëse aqii ncë mituni e ncë paadiijtuni , e ligjnë e Tinëzot e të shintesë kishë , e vepëratë e t kërshtenëvet , qi maa ndë të shumët pjesë ncish u vduorë ende po vdaarenë ;	Të cilët edhe ata i lus për pjesë të Tinëzot , të mos e vënë re aq deri në anët të mangut tem në këtë vepër , që më mirë s'qesh i zoti ta ndreqja , – po të rëndët e dëmit , që u bë edhe po bëhet , e të vdjerrët e gjith aq shpirtrave , që u vdorën edhe po vdaren veçse aq së mituri e së paadituri , e ligjin e Tinëzot e të së shenjtës kishë , e veprat e të krishterëve , që ma në të shumët pjesë sish u vdorën edhe po vdaren ;
e ndeevonë me dorët mbë zemërë të venë roe pakëzë , se motnë e të riitë e vet ndjerë mp sod ndë se e kanë spenxuom ende po e spenxonjënë , mirë tue mundunë ashtu gjaakafshë me ndimuom ende saa të tjerë , qi mb atë arrësye duonë e dëshëronjënë të mjerëtë me u ndimuom e paa ndimë kënco letërash mbë gjuhu-të tyne s janë të zotë me u ndimuom as me mbushunë oficienë e vet e shërbëtyrënë e kishësë shinte , sikundrëse do ligja , e janë detuor e mbaajtunë ;	e pastaj me dorë më zemër të vënë re pakëz , se motin e të ritë e vet deri më sot në se e kanë shpenzuar edhe po e shpenzojnë , mirë duke mundur ashtu gjëkafshë për të ndihmuar edhe sa të tjerë , që më atë arsye duan e dëshirojnë të mjerët të ndimohen e pa ndimë këso letrash më gjuhë të tyre s'janë të zotë të ndimohen as për të mbushur detyrën e vet e shërbesën e kishës së shenjtë, sikundërse do ligji , e janë detorës e mbajtur ;
kahaa munë thomi , se erdhnë ende gjithë dametë e të meenguometë e tjera të gjuhusë sanë ndjerë mp sod , e sod e këtë ditë mbë saa vise maa tepërë me dhuunë se askuurraaj .	nga mund të themi , se erdhën edhe gjithë dëmet e të munguarat e tjera të gjuhës sonë deri më sot , e sot e këtë ditë më sa vise më tepër me dhunë se askurrë .
Të ciatë kafshë tue mundunë ndo me një arrësye ndo me një tjetër me u ndimuom , s dii , a ish arrësye aqë ndjerë nd anët me u shtiim mbas shpine e sikuur ndë të harruom , përse , kuur kshtu tue vuum roe gjithëkush vetë ndë vetëhe , e ndë konshencie-të vet , thom , se pak kaa me mbaajtunë muo fajëtuor , qi maa tej s qesh i zoti me e mbërriim , – po maa tepërë vetëvetëhenë , qi tue mundunë ende maa mirë , s kaa dashunë me u fëdigunë .	Të cilat kafshë gjëra mundur ndo me një arsye ndo me një tjetër për t'u ndihmuar , s di , a ish arsye aq deri në anët të shtihej mbas shpine e sikur në të harruar , përse , kur kështu duke vënë re gjithkush vetë në vete , e në ndërgjegje të vet , them , se pak ka për të mbajtur mua fajtor , që më tej s'qeshë i zoti ta mbërrij , – po më tepër vetveten , që duke mundur edhe më mirë , s'ka dashur të mundohej.
E cia kafshë ndoonëse e pakë të kish qenë baam ndë kohot , s më ndjetë , se ish baam gjith aqi i madh dam e të vdjerrë mbë saa vise , saa askuurraj kandi s i dihetë .	E cila gjë ndonëse e pakë të kish qenë bërë në kohë , s'më ndiet , se ish bërë gjithë aq i madh dëm e të vdjerrë më sa vise , sa askurrkund s'i dihet .
